time,ppg_1_green,ppg_1_red,ppg_1_ir,ppg_2_green,ppg_2_red,ppg_2_ir
97.65,0.6289616956750234,0.6741066482954055,0.7143615275022068,0.5527088197326018,0.6481094954356269,0.5902095416064046
97.655,0.6312296080675359,0.6755538673197343,0.7168454848833598,0.5538533934492115,0.6527056116522174,0.5936766823993601
97.66,0.633367826963698,0.6785517524637101,0.7193623832216122,0.5557823329584579,0.6559875537232673,0.5961593351698966
97.665,0.6356166727220831,0.6832750410074157,0.7209522091719371,0.5581715197942285,0.657215447276694,0.597857748150655
97.67,0.6363969009675006,0.6882891462104107,0.7220837172196377,0.5607422281455128,0.6580623011818058,0.5997600199478152
97.675,0.635364402970957,0.6916130259133688,0.7243011913309292,0.5630503432517591,0.6598183217847818,0.6022868634582424
97.68,0.6350802433515434,0.6930441019769126,0.7274998254400243,0.5645965484809724,0.6618294949929993,0.6053084330707365
97.685,0.6373204482675842,0.6938240004441637,0.7294832119302915,0.565673745338569,0.6632169173179716,0.6085900288529612
97.69,0.6405180421593485,0.6944341901605686,0.7293673291699351,0.5673157281379416,0.6645846691516563,0.6115246555558729
97.695,0.6431227480054591,0.6943777159319886,0.7294336262287866,0.5698849574875228,0.6669186473251432,0.6133774291211622
97.7,0.6464050840535204,0.6939077094368721,0.7318362214667046,0.5724921571283246,0.6697365964274882,0.6144699925783813
97.705,0.6513178275562052,0.6943402577622554,0.7352224190324761,0.5743819895888995,0.671706293627566,0.6161890828108139
97.71,0.655697522541612,0.6962545601120598,0.7368869714436288,0.5760569931913009,0.672800969476478,0.6191697087682017
97.715,0.657698027221053,0.6982514734281325,0.7369815065905387,0.5782657644146777,0.6744685207862671,0.6223950053859918
97.72,0.6593178539585485,0.6981829275506123,0.7380245034513535,0.580674387085393,0.6774685280780786,0.6247732725298053
97.725,0.6632284292910915,0.695994305178208,0.7409317079732496,0.582570637619049,0.6808429551856932,0.6267048051597758
97.73,0.6683005486663436,0.6951599967459696,0.7440777769008463,0.5842912792460133,0.6836247066159427,0.6292813002350821
97.735,0.6715519913370638,0.699702636322699,0.74613042502228,0.586708689872024,0.6863175558544954,0.6326317155829839
97.74,0.6728093315003935,0.7085412932307845,0.7474957739135834,0.5895696191430919,0.6896111285116073,0.6359015745853531
97.745,0.6742885265220109,0.7147013263228261,0.7487515180924871,0.5916672541350574,0.692655091804599,0.6384833956853277
97.75,0.6767342487689378,0.7129097819570468,0.7497005390556946,0.5927654231554829,0.6941408838463454,0.6406032769653012
97.755,0.6787864509025391,0.706594838623701,0.7504777327690064,0.5941060907525179,0.6945944840814023,0.6428631879189916
97.76,0.6795442426109322,0.7035998971731074,0.7518698875885393,0.5965889347118488,0.6959751117053716,0.6455974151938983
97.765,0.6796174456725398,0.7057950408525338,0.7538376191613515,0.5995115388602928,0.6990380207648207,0.648588590815496
97.77,0.6799307740843845,0.7077121460939965,0.7551085092788614,0.601754189301475,0.7025446260471564,0.6512984136817785
97.775,0.680666129393186,0.7056255139058971,0.7550460529136149,0.6033714148381152,0.7052532649972698,0.6534997310070665
97.78,0.6809212956604282,0.7023468983459621,0.7547563791571151,0.605219142721139,0.7073395073058334,0.655568793654935
97.785,0.6790741497433246,0.7011034201884385,0.7552674019206487,0.6075740261541952,0.709447165187167,0.6579174930868297
97.79,0.674494546640907,0.7000307559111213,0.7554296399156363,0.6099435339530096,0.7115019974366967,0.6603994253384163
97.795,0.6687439822945851,0.6962116332323748,0.7530805892075998,0.6119361210006106,0.7130896940593426,0.6626647783121461
97.8,0.663510509009524,0.6910606975725905,0.7482049462067581,0.6135906113805276,0.7142443040655609,0.6647716065475819
97.805,0.6579176115283701,0.6876935862810789,0.7433877279431624,0.6149919784683232,0.7152838898926989,0.6668734636597425
97.81,0.6502483453633212,0.685788041325423,0.7403483955933752,0.6161780930302541,0.7162370955462617,0.6685293232606797
