time,ppg_1_green,ppg_1_red,ppg_1_ir,ppg_2_green,ppg_2_red,ppg_2_ir
74.88,0.35746657419802114,0.4900294418202713,0.47171245772407117,0.7188861586659648,0.41791131233042145,0.574616043743167
74.885,0.359163413615785,0.4879066617830655,0.4677313727079294,0.7218386934408128,0.430708890012247,0.5859597119294321
74.89,0.36024063351773394,0.4874211252207842,0.4686546620910183,0.7252566839550495,0.4453419419537663,0.5971982279945017
74.895,0.3608634358496703,0.486002525514069,0.4710151602106817,0.7291442225061703,0.45961412433077536,0.6091557267987505
74.9,0.36082528264761304,0.4813023003208386,0.4713800886336286,0.7342503667161114,0.47230517816734646,0.6213581920252078
74.905,0.3600092610550658,0.47595217914244425,0.47116882992129683,0.7398609180061813,0.484144782086236,0.6329386066741615
74.91,0.3592124574617364,0.47460285699969695,0.47280452759320923,0.7438782194154533,0.4963184723684072,0.64360927902083
74.915,0.3597566009252303,0.47766702709761516,0.47507118917387037,0.7455689704643567,0.5079008823230673,0.6535832203575328
74.92,0.36192200377401035,0.4813290980941181,0.4759525376938362,0.7465421184529968,0.5163292979916883,0.6631996459912762
74.925,0.36430046330467447,0.48322479188306344,0.4764696965514745,0.7483708967498539,0.5213219777436257,0.6728316379644405
74.93,0.3651751670459954,0.48496518811593015,0.4777579442496888,0.7506559106308206,0.526315934651897,0.6825909130560489
74.935,0.36417841446203586,0.4885839776125725,0.4777120110572672,0.7522302496701909,0.5340199607710738,0.6918079052007853
74.94,0.362212312307469,0.49290573615255395,0.47476550522755545,0.7531601612393692,0.5421996483975248,0.6992437535968533
74.945,0.3602898938213163,0.49462605410219734,0.4719495370800668,0.7545841319546667,0.5465605169859624,0.7042794780690029
74.95,0.3591277841394774,0.4920124770433763,0.4728187719828025,0.7571597557364774,0.5467011832869227,0.7077492366687284
74.955,0.3593980595786055,0.48678687659419057,0.47604689984282467,0.7604200195075623,0.5460825633008594,0.7111775434352176
74.96,0.3613212263922708,0.48247246975418456,0.4782886175876286,0.7633789450175634,0.5465900815746502,0.715095879345969
74.965,0.36394783982175305,0.48096707523996673,0.47956075499327455,0.7653413806925851,0.5466093497220136,0.7183782139753088
74.97,0.36574439946454357,0.48117724404539414,0.4812799394027264,0.7663523657914085,0.5448904415888477,0.719458314827743
74.975,0.3662906132400968,0.48166419962030727,0.4819027702582136,0.7671217378855348,0.5428438264088427,0.718076921008823
74.98,0.3668653129687275,0.48349971773018047,0.4797985228847712,0.7683730332815171,0.5415790112468821,0.7155114401872414
74.985,0.3689413414545535,0.4882673852428386,0.47816990643941254,0.7702217075801273,0.5395052226082981,0.7130392087646619
74.99,0.3724053674822186,0.49404017522166715,0.48144612394783587,0.7723005630129108,0.5348975841430086,0.7105551169830653
74.995,0.37566130328060476,0.4970431045624547,0.4880649545906335,0.7742739516746462,0.5289130280360348,0.7069970180874112
75.0,0.37740512555844113,0.4976132116600576,0.49217689744337434,0.7759758660643062,0.5240326029122844,0.7018384749471306
75.005,0.3779704907946364,0.49995809552372944,0.4918084708059205,0.7773622917062509,0.5207529259830947,0.6956469017953705
